Topic,Subtopic,ObjectiveName,LearningObjectives,Pre-requisites,vloookup,true?,
,,,We compare lengths by placing objects side by side and comparing which object is shorter or longer.,,,,
,,,Measuring objects up and down means measuring their heights.,,,,
,,,We compare heights by placing objects side by side and comparing which object is shorter or taller.,,,,
,,Weight,Measuring weight means to identify how heavy or light an object is.,,,,
,,,We compare weights by using tools like a balance scale. Placing objects in each bucket helps us decide which is heavier or lighter as bucket with heavier object is down and bucket with lighter objects goes up in the air.,,,,
,,Temperature,Temperature is the measure of hotness or coldness,,,,
,,,"Temperature rises when it is hot and it goes down when it is cold. So, a higher temperature means it is hot and a lower temperature means it is cold.",,,,
,,,Temperature is measured in degrees with the help of thermometer with scale like celcius or fahrehiet,,,,
,,Time,"A day has broadly 4 parts- morning, afternoon, evening, and night. ",,,,
,,,Our day to day activities vary as per the part of the day.,,,,
,,,There is no exact time when each one begins and ends because they vary according to the daylight.,,,,
,,Directions,"Left and Right
Up and Down
Above and Below",,,,
Digits and Numbers,Numbers and Digits,Numbers and Digits,"Digit is a single symbol that represents a value in math. Symbols 0, 1, 2, 3, 4, 5,6,7, 8, and 9 represent digits.",,,,
,,,A number is a count or measurement of a quantity.,,,,
,,," A number is expressed by a word, symbol, digit or a combination of words, digits or symbols.",,,,
,,, Numbers are never ending but digits are limited.,,,,
,Numbers and Digits,"Single digit number, 2 digit number and 3-digit number. ",The digits 0 to 9 when used alone represent a single digit number. ,,,,
,,, Two-digit numbers are the numbers that have two digits and they start from the number 10 and end on the number 99. ,,,,
,,,Three-digit numbers are the numbers that have three digits and they start from the number 100 and end on the number 999. ,,,,
,,,"Having 0, in the beginning, doesn't change the value of a number. 028 is same as 28 and is still considered a 2- digit number.",,,,
,Numerals and their types,"Numerals and their types
","While number is just an idea of a value in our mind; numeral is a system that represents the given number using symbols, digits or words in a consistent manner. ",,,,
,,,"The Hindu Arabic numeral system or base ten number system uses ten numerical digits: 0, 1, 2, 3, 4, 5, 6, 7, 8 and 9 to represent numbers.",,,,
,,,"This system is positional as here numbers are formed by grouping digits and each digit has a fixed position. For example, digit 1 in the number 10 has a different position than its position in the number 01.",,,,
,,," The Roman numeral system consists of various specific symbols like I, V, X to represent numbers. Then these base symbols are combined to represent any number greater than 0.",,,,
,Place value and face value,Place value for 2 and 3 digit numerals,Place value is the value represented by a digit in a number on the basis of its position in the number. ,,,,
,,, The position of a digit in a number is determined from right to left. ,,,,
,,,The right-most digit in a number determines the number of ones or units and hence its place value is the number itself.,,,,
,,,The second digit from the right determines the number of tens and hence its place value is 10 times the same digit at the one's place. Thus 1 ten = 10 ones. Similarly the third digit from the right determines the number of hundreds and hence its place value is 100 times the same digit at the one's place. Thus 1 hundred = 100 ones,,,,
,,,Every progressive place value is the earlier place value multiplied by 10 as 10 groups of earlier place value makes a single unit that makes the progressive place value.,,,,
,Place value and face value,Face value for 2 and 3 digit numerals,Face Value is the actual value of the digit in a number and hence is not determined by its place. ,,,,
,,,Any digit placed at units place will always have the same place value and face value. ,,,,
,,,The face value as well as the place value of 0 is always 0 irrespective of its position in the number.,,,,
,,,The face value of a digit multiplied by the value of its place gives the place value of the digit. ,,,,
,,," If a digit is repeated in a number, it will have the same face value but not the same place value. ",,,,
,Expanded and Standard Form,Expanded Form for 2 and 3 digit, Expanded form of a number is splitting the number according to the place value of each of its digits. ,,,,
,,," To represent a number in its expanded form, multiply each digit including 0 with its place value and express the products obtained as a sum.
",,,,
,,,"A number can also be expressed in its expanded form, by representing the place value of each of its digits as a power of 10. ",,,,
,Expanded and Standard Form,Standard Form,A number is in its standard form if it is expressed by digits only. ,,,,
,,,"Conversion of expanded form into standard form:                  
To convert the expanded form into standard form , find the sum of individual terms in the expanded form of the number.",,,,
,Writing number names,How to write numbers,Number name is a way of expressing a number in the word form. ,,,,
,,, Single digit numbers have unique number names and are used to express ten's place value for two and higher digit numbers.  ,,,,
,,,"Though numbers from 11 to 19 have two digits, they are expressed as a single unit and are used to express one's and ten's place value for three and higher digit numbers. ",,,,
,,,"To write number names for 2-digit numbers from 20 onwards, write the expanded form of the number and use the number names for multiples of 10 followed by the number names for the one's place. ",,,,
,,,"To write number names for 3-digit number, add hundred to the number name of the digit at the hundred's place followed by the number name at the ten's place and one's place. 
",,,,
,,,Zero at any place value is not included in number names.,,,,
,Representation of numbers on the Number Line,Representation of a single digit number on a number line , A number line is a pictorial representation of numbers on a horizontal or vertical straight line.,,,,
,,,"To represent numbers, mark points of equal intervals on to the right of the origin point 0.

",,,,
,,,"On a number line, as we move towards the right, the value of numbers increases.",,,,
,,,Arrows marked at the ends of the number line shows that infinite numbers can be plotted on the number line. ,,,,
,Representation of numbers on the Number Line,Representation of a 2-digit number on a number line ,The range of numbers to be represented determines the starting and ending points as well as the scale for the number line.  ,,,,
,Comparison (upto 3-digit number),Comparison using base 10 blocks," Comparing numbers means identifying if one number is equal to, less than or greater than the other number. ",,,,
,,,"To symbolically represent the comparison between numbers, the less than (<), greater than (>) and equal to (=) signs are used. ",,,,
,,, Comparing numbers helps to relate numbers with each other.,,,,
,,,To compare single digit numbers using base ten blocks compare unit cubes. The number with more number of unit cubes is greater. ,,,,
,,,"To compare 2-digit numbers compare longs first since longs represent the number of tens and tens are greater than ones. The number of longs being equal, compare the unit cubes since unit cubes represent the digit at the one's place. ",,,,
,,,"To compare 3 - digit numbers using base 10 blocks, compare flats, followed by longs and unit cubes; since blocks are compared in the order of the place values they represent. ",,,,
,Comparison (upto 3-digit number),Comparison using number line,The number which is on the right on the number line is greater than the number on its left,,,,
,,,The number with more digits is always a greater number than the number with fewer digits.,,,,
,,,"For the same digit numbers, the number with a greater digit at the leftmost place of the number is greater than the other number.

",,,,
,Comparison (upto 3-digit number),Arrange in order ,The number with the least number of digits is the smallest and the number with the most number of digits is the greatest; since the value of a number increases as the digits in a number increases. ,,,,
,,, To compare 2 digit numbers; compare the digits at the ten's place value followed by the digit at the one's place; since tens are greater than ones.,,,,
,,,To compare 3 digit numbers compare the digit at the hundred's place followed by the digit at the ten's place and one's place; since hundreds are greater than tens and tens are greater than ones.,,,,
,,,"To arrange numbers in ascending order, compare the numbers and arrange them from the lowest value to the highest value by placing < sign between the numbers.",,,,
,,,"To arrange numbers in descending order, compare the numbers and arrange them from the highest value to the lowest value by placing > sign between the numbers.",,,,
,Comparison (upto 3-digit number),Successor - Predecessor,Successor or after number is the number that succeeds or comes directly after a given number.,,,,
,,,"To find the successor of a given number, add 1 to the given number since successor is 1 more than the number.",,,,
,,,Predecessor or before number is the number that precedes or comes directly before a given number. ,,,,
,,,"To find the predecessor of a given number, subtract 1 from the given number since predecessor is 1 less than the number.",,,,
,4 and 5-digit numbers,"Place value of 4 digit numbers, expanded form and number names", 4-digit numbers are those numbers that consist of 4 digits and the number should begin with any digit other than 0 and the rest of the digits can be any number between 0 and 9.,,,,
,,,The fourth digit from the right determines the number of thousands and hence its place value is 1000 times the value of the digit. Thus 1 thousand = 1000. ,,,,
,,," To write number names for four digit numbers, write the name for the digit in the thousands place and add the word ""thousand"". ",,,,
,,,"For four digit numbers, a comma is placed after the hundred's place to mark the thousand's place. The comma helps in writing the number name and the expanded form of the number. ",,,,
,,,Expanded form of a 4 digit number using place value (Method 1) and power of 10 (Method 2). ,,,,
,4 and 5-digit numbers,"Place value of 5-digit numbers, expanded form and number names",5-digit numbers are those numbers that consist of 5 digits and the number should begin with any digit other than 0 and the rest of the digits can be any number between 0 and 9.,,,,
,,, The fifth digit from the right determines the number of ten thousands and hence its place value is 10000 times the same digit at the one's place. Thus 10 thousand = 10000. ,,,,
,,,Expanded form of a 5 digit number using place value (Method 1) and power of 10 (Method 2). ,,,,
,,," To write number names for five digit numbers, write the number name for the digits in the ten thousand's and thousand's place like a two - digit number and add the word ""thousand"". ",,,,
,4 and 5-digit numbers,Comparison between 2 or more numbers,"To compare 4 digit numbers compare the digit at the thousand's place followed by the digit at the hundred's place, ten's place and one's place; since thousands are greater than hundreds; hundreds are greater than tens and tens are greater than ones.",,,,
,,,"To compare 5 digit numbers compare the digit at the ten thousand's place followed by the digit at the thousand's place, hundred's place, ten's place and one's place; since ten thousands are greater than thousands; thousands are greater than hundreds; hundreds are greater than tens and tens are greater than ones.",,,,
,4 and 5-digit numbers,"Ordering Numbers
(Ascending Order, Descending Order, Successor and Predecessor of a Number)","To order the given numbers, compare the numbers and place them from
lowest to highest for arranging in ascending order and from highest to
lowest for arranging in descending order",,,,
,,,To find the successor of a given number add 1 to the given number and to find the predecessor of a given number subtract 1 from the given number. ,,,,
,Numbers upto 8 digits,Indian PV Chart,A chart that represents the place value of numbers as per the Indian number system is called the Indian place value chart.,,,,
,,,"Starting from the right, the nine place values are grouped into four periods as follows: 
Ones period has 3 place values: Ones, tens and hundreds 
Thousands period has 2 place values: Thousands and Ten Thousands 
Lakhs period has 2 place values: Lakhs and Ten Lakhs
Crores period has 2 place values: Crores and Ten Crores. ",,,,
,,,Each period is separated by a comma and to write a number from word form to standard form we substitute digits corresponding to the number for each period from left to right. A missing place value is substituted with a 0. ,,,,
,Numbers upto 8 digits,Express Numbers in Word form and expanded form in Indian System,"To express a number in word form, write the name for digits followed by the name of the period (except for ones)",,,,
,,,"To represent a number in expanded form, multiply each digit in the number according to its place value in the Indian place value chart. ",,,,
,Numbers upto 8 digits,International PV Chart,A chart that that is used to identify the place value of numbers as per the International number system is called the International place value chart.,,,,
,,,"Starting from the right, the nine place values are grouped into four periods as follows: 
Ones period has 3 place values: Ones, Tens and Hundreds 
Thousands period has 3 place values: Thousands, Ten Thousands and Hundred Thousands
Millions has 3 place values: Millions, Ten Millions and Hundred Millions ",,,,
,,,Each period is separated by a comma and to write a number from word form to standard form we substitute digits corresponding to the number for each period from left to right. A missing place value is substituted with a 0. ,,,,
,Numbers upto 8 digits,Express Numbers in Word form and expanded form in International System,"To express a number in word form, write the name for digits followed by the name of the period (except for ones)",,,,
,,,"To express a number in expanded form, multiply each digit in the number according to its place value in the International place value chart. ",,,,
,Numbers upto 8 digits,Compare and contrast Indian and International Place Value System,"In Indian place value chart nine place values are divided into four periods, while the in the International place value chart, nine place values are divided into three periods. ",,,,
,,,"To express a number given in Indian number system according to International number system, write the number without commas and write the place values for each of its digits according to International place value chart. ",,,,
,,,"To express a number given in International number system according to Indian number system, write the number without commas and write the place values for each of its digits according to Indian place value chart. ",,,,
,Numbers upto 8 digits,Comparison between 2 or more numbers,"To compare two or more numbers with the same number of digits, compare the digits at the highest place value. If the digits at the highest place value are same; compare the digits at the next place value until the digits at the same place values are different. ",,,,
,Numbers upto 8 digits,"Ordering Numbers
(Ascending Order, Descending Order, Successor and Predecessor of a Number)","To order the given numbers, compare the numbers and place them from
lowest to highest value for arranging in ascending order and from highest to
lowest value for arranging in descending order",,,,
,,,To find the successor of a given number add 1 to the given number and to find the predecessor of a given number subtract 1 from the given number. ,,,,
,Forming Numbers ,Formation of greatest and smallest numbers with given digits - Repetition of digits not allowed," To form the greatest number with the given number of digits, arrange the digits in descending order.

 ",,,,
,,," To form the smallest number with the given number of digits, arrange the digits in ascending order; except 0 as the left most digit.",,,,
,Forming Numbers ,Formation of greatest and smallest numbers with given digits - Repetition of digits allowed,"To form the greatest number with the given number of digits wherein digits can be repeated, arrange the digits in descending order and repeat the digit with greatest value.
",,,,
,,,"To form the smallest number with the given number of digits, arrange the digits in ascending order except 0 as the left most digit and repeat the digit of the smallest value.",,,,
,Types of Numbers,Natural Numbers Definition and their representation on number line,Natural numbers are the numbers that are used for counting and ordering. They include numbers starting from 1 and thus have positive values.,,,,
,,, There is no last natural number as there is always a natural number after a given number. They are never ending.,,,,
,,,Natural numbers are represented using the symbol N.,,,,
,,," To represent natural numbers on a number line mark 1 as the point of origin since natural numbers start from 1. 
",,,,
,,,Mark points at a distance of 1 unit from each other onto the right of 1; since each natural number except 1 is obtained by adding 1 to its predecessor.,,,,
,Types of Numbers,Whole Numbers Definition and their representation on number line,Whole numbers include all natural numbers and 0. ,,,,
,,,There is no last whole number as there is no last natural number.,,,,
,,,Zeros do not have any positive value.,,,,
,,,Whole numbers are represented using the symbol Z.,,,,
,,,"To represent whole numbers on a number line mark 0 as the point of origin since whole numbers start from 0. 
",,,,
,,,Mark points at a distance of 1 unit from each other onto the right of 0; since each whole number except 0 is obtained by adding 1 to its predecessor.,,,,
,Types of Numbers,"Cardinal, Ordinal and Nominal Numbers"," A cardinal number is a number that tells how many of something there are like 1, 2, 3, 4, 5 and so on.",,,,
,,,"An ordinal number is a number that tells the position of something in a list like 1st, 2nd, 3rd, 4th, 5th etc.",,,,
,,,A Nominal Number is a number that is used to label or identify something (not as an actual value or position),,,,
,,,"Cardinal numbers are used for Counting and thus, are known as natural numbers; Ordinal numbers are used for Ordering and Nominal number are used as Names.",,,,
,Rounding off,What is rounding off and its purpose? ,Estimation is making a rough guess about how many or about how much.,,,,
,,,Rounding off is a way of making estimations.,,,,
,,,Rounding numbers means making the number simpler by adjusting its digits in such a way its value remains close to what it was.   ,,,,
,,,"A round number is a number that ends with one or more ""0""s in a given base. ",,,,
,,,"Rounding can be used when an exact number isn't needed, and an approximate answer will do. ",,,,
,Rounding off,Rules of rounding off,"Numbers can be rounded to different digits, like, they can be rounded to the nearest ten, hundred, thousand, and so on. Thus, it is important to know which digit a number has to be rounded to.",,,,
,,,A number is said to be rounded up if when the rounded number is increased.,,,,
,,,A number is said to be rounded down if when the rounded number is decreased.,,,,
,,," While rounding a number, we consider the place value of digits in a number. This is because that digit tells us which rounding number the given number is closer to.",,,,
,Rounding off,"Rounding to nearest 10, 100 and 1000","Rounding numbers to the nearest ten means we need to check the digit to the right of the tens place, that is the ones place. If it is less than 5, round down else round up.",,,,
,,,If the digit to the right of the place value to be rounded is less than 5; the rounding digit remains as it is and all the digits to the right of the rounding digits become 0. This is called rounding down. ,,,,
,,,"If the digit to the right of the place value to be rounded is 5 or more than 5,the rounding digit increases by one digit. All the digits to the right are dropped to zero. This is called rounding up. ",,,,
,,,"Rounding numbers to the nearest hundred means we need to check the digit to the right of the hundreds place, that is the tens place. If it is less than 5, round down else round up.",,,,

,,,We analyse the ones/unit place to round off to nearest tens as it is the next smallest place value and tells which tens place this number is close to. ,,,,
,,,We analyse the tens place to round off to nearest hundreds as it is the next smallest place value and tells which hundreds place this number is close to. ,,,,
,,,"Rounding numbers to the nearest thousand means we need to check the digit to the right of the thousands place, that is the hundreds place. If it is less than 5, round down else round up.",,,,
,,,We analyse the hundreds place to round off to nearest thousands as it is the next smallest place value and tells which thousands place this number is close to. ,,,,
Operation on Numbers,Addition of one-digit numbers,What is addition of two numbers and terms and symbol related to addition,Addition is a way of combining things and counting them together as one large group.,,,,
,,,The numbers that are added are called as addends and the result obtained is called the sum.  ,,,,
,,,"The plus ""+"" symbol and the ""="" symbol are used to write an addition sentence where ""+"" indicates addition.",,,,
,Addition of one-digit numbers,Purpose of addition of numbers,"Addition helps in finding the total of objects in different groups using terms like altogether, sum, total, putting together, all, finding how many, finding more than etc. ",,,,
,Addition of one-digit numbers,"Addition of 1 digit numbers by counting forward
","
Addition can be done by counting forward from the given number.",,,,
,,,"Counting forward is the same as adding one more, every time.",,,,
,Addition of one-digit numbers,"Addition of 1 digit numbers by using double strategy.
",Addition of nearby numbers can be done using double strategy where we decompose one addend to make a double with the other addend. ,,,,
,Addition of one-digit numbers,Addition of 1 digit numbers by making 10,Add by making 10 and counting forwards as it is easier to add in tens. ,,,,
,Addition of one-digit numbers,Addition of 1 digit numbers using Number Line and Hundred Chart,"Starting from 0, move towards one of the numbers to be added on the number line and count forward that many steps as given by the other number to get the sum of these numbers. ",,,,
,,,"To add numbers, start with one of the numbers and count forward equal to the other number. The first number tells us where to begin and the second number tells us by how much to count forward. ",,,,
,,,Addition on number line is same as counting numbers by moving towards the right-hand side of a number line. ,,,,
,Addition of 2 -digit numbers,Jump Strategy for addition,Start with the larger number. Add the tens and then the ones . This is known as the Jump Strategy for addition. ,,,,
,,,"For adding the numbers, we begin with the larger number as we are left with a smaller number and it is quicker to count fewer numbers.",,,,
,Addition of 2 -digit numbers,Addition of 2 digit numbers without carrying forward ,"In the column method of addition, line up the digits of each addends one below the other according to their place value, and add each column starting from the rightmost column with only one digit as a sum in each column. This method is also known as vertical addition.",,,,
,,,Addition is always started from the right-most column as it consists of the units digit of each number and we add the units digit first. ,,,,
,,,"When the digits add to a number that is 9 or less, we call it addition without regrouping or carrying over as there are no numbers to be carried over.",,,,
,,,"In the expanded column addition, expand the addends and add them as per their place values. Express the result in standard form. ",,,,
,Addition of 2 -digit numbers,Addition of 2 digit numbers with carrying forward,"In the column method of addition, line up the digits of each addends one below the other according to their place value, and add each column starting from the rightmost column with regrouping so as to have only one digit as a sum in each column. This method is also known as vertical addition.",,,,
,,,"Since the sum of units digits exceed 9 and we can have only one digit as a sum in one column, regroup the sum into tens and ones.",,,,
,,,"Since the group of 10 units(ones) can be regrouped to make 1 ten, we carry forward the tens digit to the tens column.
",,,,
,,,"When one of the place value columns add up to a number that is 10 or greater, we call it addition with regrouping or carrying over.",,,,
,,,"In the expanded column addition, expand the addends and add them as per their place values. Regroup the ones, carry forward the tens digit to the tens place and add.  Express the result in standard form. ",,,,
,Addition of larger numbers,Addition of larger numbers without carrying forward ,"In the column method of addition, line up the numbers vertically according to their place value and add each column starting from the rightmost column and moving to the left with only one digit as a sum in each column. This method is also known as vertical addition.
",,,,
,,,Addition is always started from the right-most column as it consists of the units digit of each number and we add the units digit first. ,,,,
,,,"Since no place value columns add up to a number that is 10 or greater, we call it addition without regrouping or carrying over.",,,,
,,,"In the expanded column addition, expand the addends and add them as per their place values. Express the result in standard form. ",,,,
,Addition of larger numbers,Addition of larger numbers with carrying forward,"In the column method of addition, line up the numbers vertically according to their place value and add each column starting from the rightmost column and moving to the left with only one digit as a sum in each column. Regroup or carry over wherever sum of digits in any column is greater than 9.",,,,
,,,"In the expanded column addition, expand the addends and add them as per their place values. Regroup or carry over wherever sum of digits in any place value is greater than 9. Express the result in standard form. ",,,,
,Subtraction of one-digit numbers,What is subtraction of two numbers and terms and symbol related to subtraction,"Subtraction  is the process of taking smaller number/group away from a larger number/group. When we subtract, the number of things in the group reduces or becomes less. ",,,,
,,,A subtraction sentence is written as Minuend - Subtrahend = Difference. The minuend is the first number in a subtraction sentence. We subtract subtrahend from the minuend to get the result which is called as a difference.,,,,
,,,"The minus ""-"" symbol and the ""="" symbol are used to write a subtraction sentence. ",,,,
,Subtraction of one-digit numbers,Purpose of subtraction of numbers,Subtraction is used in multiple situations like when we take away something or find something fewer than or less than the given objects or find the difference between the given groups of objects.,,,,
,,,"Subtraction also helps understand what is left behind when  you take away a few objects from a group of objects. 
",,,,
,Subtraction of one-digit numbers,Subtraction of 1 -digit numbers by counting backward ,"Starting from 0, move towards the larger number and count backwards that many steps as given by the number to be subtracted to get the difference.",,,,
,,,"To find the difference between the two numbers, subtract from the bigger number.",,,,
,,,"
Subtraction on the number line is the same as counting backward by moving toward the left hand side of a number line. ",,,,
,Subtraction of one-digit numbers,Subtraction of 1 -digit numbers by counting up ,Count up from the smaller number to the bigger number. This count gives the difference of the two numbers.,,,,
,,,"To find the difference between the two numbers, add from the smaller number.",,,,
,Subtraction of 2-digit numbers,Subtraction by making 10,"Subtract by making 10 as it is easier to subtract numbers from tens.
",,,,
,Subtraction of 2 -digit numbers,Jump Strategy for subtraction,Take away the tens and then the ones. This is known as Jumping Strategy for subtraction.,,,,
,,,We take away the tens first as it is easier to handle the ones when we have operated on tens.,,,,
,Subtraction of 2 -digit numbers,Subtraction without borrowing and with cross check ,"In the column method of subtraction, line up the digits of minuend below the digits of subtrahend according to their place value and subtract each column starting from the rightmost column by subtracting a smaller digit from a bigger digit. This is also known as vertical subtraction.",,,,
,,,Subtraction is always started from the right-most column as it consists of the units digit of each number and we subtract the units digit first. ,,,,
,,,"When the digits of the subtrahend are smaller than the digits of the minuend, we call it subtraction without borrowing as there is no need to borrow a number.",,,,
,,,"In the expanded column subtraction, expand the minuend and subtrahend and subtract them as per their place values. Express the result in standard form. ",,,,
,Subtraction of 2 -digit numbers,Subtraction with borrowing and cross check,"In the column method of subtraction, line up the digits of minuend below the digits of subtrahend according to their place value and subtract each column starting from the rightmost column with borrowing so that bigger number can be subtracted from smaller  number. This is also known as vertical subtraction.",,,,
,,,"Since a bigger number cannot be subtracted from a smaller number, borrow from the ten's place to one's place. ",,,,
,,,"Since a 10 was borrowed, we add a 10 to the one's place and reduce a 10 from the ten's place. ",,,,
,,,"When one of the place value columns have a bigger digit to be subtracted, we call it  subtraction with borrowing and cross-check .",,,,
,,,"In the expanded column subtraction, expand the subtrahend and minuend and then subtract as per their place values. Borrow from the ten's place to one's place and then subtract. Express the result in standard form.",,,,
,Subtraction of larger numbers,Subtraction of larger numbers without borrowing,"In the column method of subtraction, line up the digits of minuend below the digits of subtrahend according to their place value and subtract each column starting from the rightmost column and moving to the left by subtracting a smaller digit from a bigger digit.",,,,
,,,Subtraction is always started from the right-most column as it consists of the units digit of each number and we subtract the units digit first. ,,,,
,,,"Since no place value column had a bigger digit to be subtracted, we call it  subtraction without borrowing and cross-check .",,,,
,,,"In the expanded column subtraction, expand the subtrahend  and minuend and then subtract as per their place values. Express the result in standard form.",,,,
,Subtraction of larger numbers,Subtraction of larger numbers with borrowing ,"In the column method of subtraction, line up the digits of minuend below the digits of subtrahend according to their place value and subtract each column starting from the rightmost column and  moving to the left subtracting smaller digit from a bigger digit.  Borrow and cross-check wherever a bigger digit has to be subtracted from a smaller digit. ",,,,
,,,"In the expanded column subtraction, expand the subtrahend  and minuend and then subtract as per their place values. Borrow from a higher place value wherever the place value to be subtracted is bigger. Express the result in standard form.",,,,
,Addition and subtraction relationship,Addition and subtraction fact families,The fact family shows a connection between addition and subtraction. Subtraction is just the opposite of addition.,,,,
,,,Addition and subtraction fact family helps form two addition and two subtraction sentences using three numbers. ,,,,
,,,"Since addition means combining parts and subtraction means taking away a part, the inverse nature of addition and subtraction is used for forming fact families. ",,,,
,Using models to find missing numbers,Missing Addends,"To find the missing addend, count up from the given addend to the sum.",,,,
,,,"To find the missing addend, count backward from the sum to the given addend.",,,,
,,,"The difference of the sum and the given addend gives the value of the missing addend.
",,,,
,Using models to find missing numbers,Missing Minuend," To find the missing minuend, count up from the given subtrahend equal  to the difference.",,,,
,,,To find the missing minuend count up from the given difference equal to the subtrahend.,,,,
,,,The sum of the difference and the given subtrahend gives the value of the missing minuend.,,,,
,Using models to find missing numbers,Missing subtrahend," To find the missing subtrahend,  count up from the given difference till the minuend.",,,,
,,,To find the missing subtrahend count down from the given minuend to the difference.,,,,
,,,The difference of the minuend and the given difference gives the value of the missing subtrahend.,,,,
,Multiplication of one-digit numbers,What is multiplication of two numbers and its purpose,"Multiplication means to add equal groups of objects. When we multiply, the number of objects in the group increases. ",,,,
,,,"Since in multiplication, a number is added to itself multiple times, multiplication is often related to ""repeated addition"". It is also known as ""times""",,,,
,,,Multiplication helps us find the total number of items quickly. ,,,,
,,,"The number of objects in each group is called multiplicand and the number of such equal groups is called the multiplier. Thus, the number to be multiplied is called the multiplicand and the number with which we multiply is called the multiplier.",,,,
,,,"The multiplication symbol ""x""  and the ""="" symbol are used to write an multiplication sentence where ""x"" indicates multiplication. ",,,,
,Multiplication of one-digit numbers,Representing multiplication using an array,An array is a way to represent multiplication using rows and columns. Rows represent the number of equal groups and columns represent the size of each group.,,,,
,,,Re arranging the number  of rows and  columns changes the multiplication sentence but the product  obtained remains the same. ,,,,
,,,The number of rows times the number of columns gives the product.,,,,
,Multiplication of one-digit numbers,Skip Count by Whole Numbers, Skip counting can be defined as the method of counting forward or backward by numbers other than 1. ,,,,
,,,Skip counting by a number is done by adding that number to every subsequent number. ,,,,
,Multiplication of one-digit numbers,Multiplication by Skip Count,"For multiplication by skip count, we always count forward by the same number each time.",,,,
,,,"Since multiplication of two numbers means making as many copies of multiplicand as given by multiplier, multiplicand tells us the number by which skip count is to be done and multiplier tells the number of times we need to skip count.",,,,
,,,"Skip counting is same as  multiplication because it helps us count in equal groups to reach a number, like counting ten groups of two to get to 20",,,,
,,,"Starting from 0, move towards one of the numbers to be multiplied on the number line and skip count that many times as given by the other number to get the product of these numbers. ",,,,
,Multiplication of one-digit numbers,Multiplication Facts,A multiplication fact is the product of two specific numbers.,,,,
,,,"Multiplication facts are presented in a multiplication or times table.
",,,,
,,,There is no limit to multiplication facts for any number as there is no limit to any number.,,,,
,Multiplication by 0 and 1,Multiplication by 0 and 1,Multiplication of 0 with any number means adding 0 a number of times and this results in nothing. i.e. zero.,,,,
,,,Multiplication of a number with 1 means adding the number once and this results in the number itself. ,,,,
,Multiplication of 2 or more digit numbers by one or more digit numbers,Multiplication using Expanded form,Break the numbers down by place value and apply the distributive property of multiplication over addition to find the partial products and then the sum of these partial products. This method is also known as multiplication using expanded form or split strategy or grid method,,,,
